source_id,target_id,transition_kind,weight_rule,weight_value,weight_expression,condition_kind,condition_value,semantic_risk,semantic_morality,semantic_action,source_ref,note
155,70,forced,constant,1,,,,,,,LW01_e_edges.csv:273,
156,294,profile_choice,profile_choice,,,,,reckless,neutral,physical,LW01_e_edges.csv:274,
156,245,profile_choice,profile_choice,,,,,reckless,neutral,physical,LW01_e_edges.csv:275,
157,30,profile_choice,profile_choice,,,,,neutral,neutral,tactical,LW01_e_edges.csv:276,
157,167,profile_choice,profile_choice,,,,,cautious,neutral,tactical,LW01_e_edges.csv:277,
158,106,forced,constant,1,,,,,,,LW01_e_edges.csv:278,"Loss of 6 ENDURANCE points during the transition. Potential additional loss of 4 ENDURANCE points based on a random roll (0-5 miss, 6-9 hit) before the forced transition."
159,191,profile_choice,profile_choice,,,,,reckless,neutral,physical,LW01_e_edges.csv:279,
159,234,profile_choice,profile_choice,,,,,reckless,neutral,physical,LW01_e_edges.csv:280,
160,286,random,constant,0.5,,,,,,,LW01_e_edges.csv:281,
160,10,random,constant,0.5,,,,,,,LW01_e_edges.csv:282,
161,209,forced,constant,1,,,,,,,LW01_e_edges.csv:283,
162,258,kai,formula,,"kai_available(""Mind Over Matter"")",kai_discipline,Mind Over Matter,,,,LW01_e_edges.csv:284,Kai route is taken whenever the discipline is available.
162,127,kai,formula,,"1 - kai_available(""Mind Over Matter"")",kai_discipline_absent,Mind Over Matter,,,,LW01_e_edges.csv:285,
163,321,forced,constant,1,,,,,,,LW01_e_edges.csv:286,
164,308,forced,constant,1,,,,,,,LW01_e_edges.csv:287,
165,212,forced,constant,1,,,,,,,LW01_e_edges.csv:288,
166,104,forced,constant,1,,,,,,,LW01_e_edges.csv:289,Loss of 4 ENDURANCE points during the transition
167,178,kai,formula,,"kai_available(""Sixth Sense"")",kai_discipline,Sixth Sense,,,,LW01_e_edges.csv:290,Kai route is taken whenever the discipline is available.
167,88,profile_choice,formula,,"(1 - kai_available(""Sixth Sense"")) * choice_share(167, 88)",,,reckless,neutral,tactical,LW01_e_edges.csv:291,Choice among routes remaining when the Kai route is unavailable.
167,264,profile_choice,formula,,"(1 - kai_available(""Sixth Sense"")) * choice_share(167, 264)",,,cautious,neutral,neutral,LW01_e_edges.csv:292,Choice among routes remaining when the Kai route is unavailable.
168,64,forced,constant,1,,,,,,,LW01_e_edges.csv:293,Player must take a Meal before proceeding
170,319,combat,formula,,combat_win(170),,,,,,LW01_e_edges.csv:296,Transition after combat victory. | Combat outcome determines progression. Conditional penalty (deduct 3 COMBAT SKILL) applies if Torch is missing.
170,Death,combat,formula,,1 - combat_win(170),,,,,,generated:combat_death:170,Implicit death when the combat is lost.
171,303,forced,constant,1,,,,,,,LW01_e_edges.csv:297,
172,114,kai,formula,,"kai_available(""Camouflage"")",kai_discipline,Camouflage,,,,LW01_e_edges.csv:298,Kai route is taken whenever the discipline is available.
172,239,profile_choice,formula,,"(1 - kai_available(""Camouflage"")) * choice_share(172, 239)",,,cautious,selfish,physical,LW01_e_edges.csv:299,Choice among routes remaining when the Kai route is unavailable.
172,29,profile_choice,formula,,"(1 - kai_available(""Camouflage"")) * choice_share(172, 29)",,,reckless,neutral,physical,LW01_e_edges.csv:300,Choice among routes remaining when the Kai route is unavailable.
174,190,forced,constant,1,,,,,,,LW01_e_edges.csv:303,Loss of Backpack and Weapons during the transition
175,182,kai,formula,,"kai_available(""Camouflage"")",kai_discipline,Camouflage,,,,LW01_e_edges.csv:304,Kai route is taken whenever the discipline is available.
175,41,profile_choice,formula,,"(1 - kai_available(""Camouflage"")) * choice_share(175, 41)",,,cautious,neutral,tactical,LW01_e_edges.csv:305,Choice among routes remaining when the Kai route is unavailable.
175,116,profile_choice,formula,,"(1 - kai_available(""Camouflage"")) * choice_share(175, 116)",,,reckless,neutral,physical,LW01_e_edges.csv:306,Choice among routes remaining when the Kai route is unavailable.
176,253,profile_choice,profile_choice,,,,,reckless,neutral,physical,LW01_e_edges.csv:307,
176,126,profile_choice,profile_choice,,,,,cautious,neutral,neutral,LW01_e_edges.csv:308,
177,83,forced,constant,1,,,,,,,LW01_e_edges.csv:309,
178,88,profile_choice,profile_choice,,,,,reckless,noble,neutral,LW01_e_edges.csv:310,
178,264,profile_choice,profile_choice,,,,,cautious,selfish,neutral,LW01_e_edges.csv:311,
179,318,profile_choice,profile_choice,,,,,reckless,neutral,tactical,LW01_e_edges.csv:312,
179,51,profile_choice,profile_choice,,,,,cautious,neutral,physical,LW01_e_edges.csv:313,
181,288,forced,constant,1,,,,,,,LW01_e_edges.csv:316,
182,174,forced,constant,1,,,,,,,LW01_e_edges.csv:317,
183,97,profile_choice,profile_choice,,,,,neutral,noble,neutral,LW01_e_edges.csv:318,
183,200,profile_choice,profile_choice,,,,,cautious,selfish,neutral,LW01_e_edges.csv:319,
184,64,forced,constant,1,,,,,,,LW01_e_edges.csv:320,Mandatory consumption of 1 Meal before transition
185,Death,outcome,constant,1,,,,,,,LW01_nodes.csv:185,Written narrative ending linked to its shared outcome.
186,106,forced,constant,1,,,,,,,LW01_e_edges.csv:321,
187,186,profile_choice,profile_choice,,,,,reckless,neutral,physical,LW01_e_edges.csv:322,
187,228,profile_choice,profile_choice,,,,,cautious,neutral,neutral,LW01_e_edges.csv:323,
188,303,forced,constant,1,,,,,,,LW01_e_edges.csv:324,Loss of 3 ENDURANCE points during the transition
189,118,forced,constant,1,,,,,,,LW01_e_edges.csv:325,
190,20,profile_choice,profile_choice,,,,,reckless,neutral,tactical,LW01_e_edges.csv:326,
190,273,profile_choice,profile_choice,,,,,cautious,neutral,neutral,LW01_e_edges.csv:327,
192,171,profile_choice,profile_choice,,,,,cautious,neutral,physical,LW01_e_edges.csv:330,
192,120,profile_choice,profile_choice,,,,,reckless,neutral,physical,LW01_e_edges.csv:331,
193,253,profile_choice,profile_choice,,,,,reckless,neutral,physical,LW01_e_edges.csv:332,
193,126,profile_choice,profile_choice,,,,,cautious,neutral,physical,LW01_e_edges.csv:333,
194,208,profile_choice,profile_choice,,,,,reckless,noble,physical,LW01_e_edges.csv:334,
194,148,profile_choice,profile_choice,,,,,cautious,selfish,physical,LW01_e_edges.csv:335,
195,59,profile_choice,profile_choice,,,,,reckless,neutral,tactical,LW01_e_edges.csv:336,
195,106,profile_choice,profile_choice,,,,,cautious,neutral,neutral,LW01_e_edges.csv:337,
196,332,profile_choice,profile_choice,,,,,reckless,neutral,neutral,LW01_e_edges.csv:338,
196,144,profile_choice,profile_choice,,,,,cautious,neutral,neutral,LW01_e_edges.csv:339,
197,172,forced,constant,1,,,,,,,LW01_e_edges.csv:340,
198,7,profile_choice,profile_choice,,,,,cautious,neutral,neutral,LW01_e_edges.csv:341,
198,152,profile_choice,profile_choice,,,,,reckless,neutral,tactical,LW01_e_edges.csv:342,
199,81,forced,constant,1,,,,,,,LW01_e_edges.csv:343,
200,168,kai,formula,,"kai_available(""Camouflage"")",kai_discipline,Camouflage,,,,LW01_e_edges.csv:344,Kai route is taken whenever the discipline is available.
200,78,profile_choice,formula,,"1 - kai_available(""Camouflage"")",,,reckless,neutral,physical,LW01_e_edges.csv:345,Choice among routes remaining when the Kai route is unavailable.
201,238,profile_choice,profile_choice,,,,,neutral,neutral,neutral,LW01_e_edges.csv:346,
201,15,profile_choice,profile_choice,,,,,neutral,neutral,neutral,LW01_e_edges.csv:347,
201,130,profile_choice,profile_choice,,,,,neutral,neutral,neutral,LW01_e_edges.csv:348,
202,58,forced,constant,1,,,,,,,LW01_e_edges.csv:349,
204,111,forced,constant,1,,,,,,,LW01_e_edges.csv:352,
205,181,random,constant,0.5,,,,,,,LW01_e_edges.csv:353,
205,145,random,constant,0.5,,,,,,,LW01_e_edges.csv:354,
206,224,forced,constant,1,,,,,,,LW01_e_edges.csv:355,
207,30,forced,constant,1,,,,,,,LW01_e_edges.csv:356,
209,23,forced,constant,1,,,,,,,LW01_e_edges.csv:359,
210,332,profile_choice,profile_choice,,,,,reckless,neutral,neutral,LW01_e_edges.csv:360,
210,37,profile_choice,profile_choice,,,,,cautious,neutral,neutral,LW01_e_edges.csv:361,
211,244,kai,formula,,"kai_available(""Sixth Sense"")",kai_discipline,Sixth Sense,,,,LW01_e_edges.csv:362,Kai route is taken whenever the discipline is available.
211,173,profile_choice,formula,,"(1 - kai_available(""Sixth Sense"")) * choice_share(211, 173)",,,reckless,neutral,neutral,LW01_e_edges.csv:363,Choice among routes remaining when the Kai route is unavailable.
211,106,profile_choice,formula,,"(1 - kai_available(""Sixth Sense"")) * choice_share(211, 106)",,,cautious,neutral,neutral,LW01_e_edges.csv:364,Choice among routes remaining when the Kai route is unavailable.
212,350,forced,constant,1,,,,,,,LW01_e_edges.csv:365,Restoration of all lost ENDURANCE points during the transition
213,331,forced,constant,1,,,,,,,LW01_e_edges.csv:366,
214,125,forced,constant,1,,,,,,,LW01_e_edges.csv:367,
215,346,profile_choice,profile_choice,,,,,reckless,neutral,tactical,LW01_e_edges.csv:368,
215,14,profile_choice,profile_choice,,,,,cautious,neutral,neutral,LW01_e_edges.csv:369,
216,264,forced,constant,1,,,,,,,LW01_e_edges.csv:370,
217,91,profile_choice,profile_choice,,,,,reckless,neutral,neutral,LW01_e_edges.csv:371,
217,7,profile_choice,profile_choice,,,,,cautious,neutral,tactical,LW01_e_edges.csv:372,
218,75,forced,constant,1,,,,,,,LW01_e_edges.csv:373,
219,Death,outcome,constant,1,,,,,,,LW01_nodes.csv:219,Written narrative ending linked to its shared outcome.
221,318,forced,constant,1,,,,,,,LW01_e_edges.csv:376,
222,67,kai,formula,,"kai_available(""Tracking"")",kai_discipline,Tracking,,,,LW01_e_edges.csv:377,Kai route is taken whenever the discipline is available.
222,140,profile_choice,formula,,"(1 - kai_available(""Tracking"")) * choice_share(222, 140)",,,neutral,neutral,neutral,LW01_e_edges.csv:378,Choice among routes remaining when the Kai route is unavailable.
222,252,profile_choice,formula,,"(1 - kai_available(""Tracking"")) * choice_share(222, 252)",,,neutral,neutral,neutral,LW01_e_edges.csv:379,Choice among routes remaining when the Kai route is unavailable.
223,75,profile_choice,profile_choice,,,,,cautious,neutral,tactical,LW01_e_edges.csv:380,
223,175,profile_choice,profile_choice,,,,,reckless,neutral,tactical,LW01_e_edges.csv:381,
224,153,forced,constant,1,,,,,,,LW01_e_edges.csv:382,
225,187,profile_choice,profile_choice,,,,,cautious,noble,neutral,LW01_e_edges.csv:383,
225,39,profile_choice,profile_choice,,,,,neutral,neutral,neutral,LW01_e_edges.csv:384,
226,277,random,constant,0.5,,,,,,,LW01_e_edges.csv:385,
226,338,random,constant,0.5,,,,,,,LW01_e_edges.csv:386,
228,140,profile_choice,profile_choice,,,,,reckless,neutral,physical,LW01_e_edges.csv:389,
228,215,profile_choice,profile_choice,,,,,cautious,neutral,neutral,LW01_e_edges.csv:390,
230,179,forced,constant,1,,,,,,,LW01_e_edges.csv:393,
232,180,profile_choice,profile_choice,,,,,reckless,neutral,physical,LW01_e_edges.csv:397,
232,22,profile_choice,profile_choice,,,,,cautious,selfish,physical,LW01_e_edges.csv:398,
233,206,forced,constant,1,,,,,,,LW01_e_edges.csv:399,
234,Death,outcome,constant,1,,,,,,,LW01_nodes.csv:234,Written narrative ending linked to its shared outcome.
235,254,kai,formula,,"kai_available(""Tracking"")",kai_discipline,Tracking,,,,LW01_e_edges.csv:400,Kai route is taken whenever the discipline is available.
235,32,profile_choice,formula,,"(1 - kai_available(""Tracking"")) * choice_share(235, 32)",,,neutral,neutral,neutral,LW01_e_edges.csv:401,Choice among routes remaining when the Kai route is unavailable.
235,146,profile_choice,formula,,"(1 - kai_available(""Tracking"")) * choice_share(235, 146)",,,neutral,neutral,neutral,LW01_e_edges.csv:402,Choice among routes remaining when the Kai route is unavailable.
236,104,forced,constant,1,,,,,,,LW01_e_edges.csv:403,Loss of 6 ENDURANCE points and permanent reduction of 1 COMBAT SKILL point during the transition
237,265,random,constant,0.5,,,,,,,LW01_e_edges.csv:404,
237,72,random,constant,0.5,,,,,,,LW01_e_edges.csv:405,
238,42,profile_choice,profile_choice,,,,,cautious,neutral,neutral,LW01_e_edges.csv:406,
238,68,profile_choice,profile_choice,,,,,neutral,neutral,neutral,LW01_e_edges.csv:407,
239,34,profile_choice,profile_choice,,,,,neutral,neutral,neutral,LW01_e_edges.csv:408,
239,118,profile_choice,profile_choice,,,,,cautious,neutral,tactical,LW01_e_edges.csv:409,
240,79,forced,constant,1,,,,,,,LW01_e_edges.csv:410,
241,349,forced,constant,1,,,,,,,LW01_e_edges.csv:411,
242,166,kai,formula,,"kai_available(""Mindshield"")",kai_discipline,Mindshield,,,,LW01_e_edges.csv:412,Kai route is taken whenever the discipline is available.
242,9,kai,formula,,"1 - kai_available(""Mindshield"")",kai_discipline_absent,Mindshield,,,,LW01_e_edges.csv:413,
243,97,forced,constant,1,,,,,,,LW01_e_edges.csv:414,
244,93,forced,constant,1,,,,,,,LW01_e_edges.csv:415,
245,190,forced,constant,1,,,,,,,LW01_e_edges.csv:416,
246,197,combat,formula,,combat_win(246),,,,,,LW01_e_edges.csv:417,Transition after combat victory. | Implicit death condition if combat is lost
246,Death,combat,formula,,1 - combat_win(246),,,,,,generated:combat_death:246,Implicit death when the combat is lost.
247,159,profile_choice,profile_choice,,,,,cautious,neutral,tactical,LW01_e_edges.csv:418,
247,220,profile_choice,profile_choice,,,,,reckless,neutral,physical,LW01_e_edges.csv:419,
248,44,profile_choice,profile_choice,,,,,neutral,neutral,neutral,LW01_e_edges.csv:420,
248,300,profile_choice,profile_choice,,,,,neutral,neutral,neutral,LW01_e_edges.csv:421,
249,169,profile_choice,profile_choice,,,,,neutral,neutral,neutral,LW01_e_edges.csv:422,
249,107,profile_choice,profile_choice,,,,,reckless,neutral,physical,LW01_e_edges.csv:423,
250,186,profile_choice,profile_choice,,,,,reckless,neutral,physical,LW01_e_edges.csv:424,
250,228,profile_choice,profile_choice,,,,,cautious,neutral,neutral,LW01_e_edges.csv:425,
251,10,forced,constant,1,,,,,,,LW01_e_edges.csv:426,
252,155,profile_choice,profile_choice,,,,,reckless,neutral,neutral,LW01_e_edges.csv:427,
252,70,profile_choice,profile_choice,,,,,cautious,neutral,neutral,LW01_e_edges.csv:428,
253,278,combat,formula,,combat_win(253),,,,,,LW01_e_edges.csv:429,"Transition after combat victory. | Combat sequence with multiple enemies. Only one outcome provided (victory), implying death is the implicit alternative not captured in a choice tag."
253,Death,combat,formula,,1 - combat_win(253),,,,,,generated:combat_death:253,Implicit death when the combat is lost.
254,32,profile_choice,profile_choice,,,,,neutral,neutral,neutral,LW01_e_edges.csv:430,
254,146,profile_choice,profile_choice,,,,,neutral,neutral,neutral,LW01_e_edges.csv:431,
255,82,combat,formula,,combat_win(255),,,,,,LW01_e_edges.csv:432,"Transition after combat victory. | Combat outcome determines progression, but only one choice tag exists"
255,Death,combat,formula,,1 - combat_win(255),,,,,,generated:combat_death:255,Implicit death when the combat is lost.
256,224,forced,constant,1,,,,,,,LW01_e_edges.csv:433,
257,133,profile_choice,profile_choice,,,,,neutral,neutral,tactical,LW01_e_edges.csv:434,
257,161,profile_choice,profile_choice,,,,,reckless,neutral,neutral,LW01_e_edges.csv:435,
258,50,forced,constant,1,,,,,,,LW01_e_edges.csv:436,Loss of Backpack and Weapons during the transition
259,Death,outcome,constant,1,,,,,,,LW01_nodes.csv:259,Written narrative ending linked to its shared outcome.
260,156,combat,formula,,combat_win(260),,,,,,LW01_e_edges.csv:437,Transition after combat victory. | Combat scenario with only one outcome option provided in the text
260,Death,combat,formula,,1 - combat_win(260),,,,,,generated:combat_death:260,Implicit death when the combat is lost.
261,208,profile_choice,profile_choice,,,,,reckless,noble,physical,LW01_e_edges.csv:438,
261,264,profile_choice,profile_choice,,,,,cautious,selfish,physical,LW01_e_edges.csv:439,
262,191,profile_choice,profile_choice,,,,,reckless,neutral,physical,LW01_e_edges.csv:440,
262,234,profile_choice,profile_choice,,,,,reckless,neutral,physical,LW01_e_edges.csv:441,
263,70,profile_choice,profile_choice,,,,,neutral,neutral,neutral,LW01_e_edges.csv:442,
263,157,profile_choice,profile_choice,,,,,neutral,neutral,neutral,LW01_e_edges.csv:443,
264,97,profile_choice,profile_choice,,,,,reckless,neutral,tactical,LW01_e_edges.csv:444,
264,6,profile_choice,profile_choice,,,,,cautious,neutral,neutral,LW01_e_edges.csv:445,
265,142,forced,constant,1,,,,,,,LW01_e_edges.csv:446,
266,209,forced,constant,1,,,,,,,LW01_e_edges.csv:447,
267,125,forced,constant,1,,,,,,,LW01_e_edges.csv:448,
268,288,forced,constant,1,,,,,,,LW01_e_edges.csv:449,
269,314,profile_choice,profile_choice,,,,,cautious,neutral,neutral,LW01_e_edges.csv:450,
269,7,profile_choice,profile_choice,,,,,neutral,neutral,neutral,LW01_e_edges.csv:451,
270,21,forced,constant,1,,,,,,,LW01_e_edges.csv:452,
271,Death,outcome,constant,1,,,,,,,LW01_nodes.csv:271,Written narrative ending linked to its shared outcome.
272,134,kai,formula,,"kai_available(""Tracking"")",kai_discipline,Tracking,,,,LW01_e_edges.csv:453,Kai route is taken whenever the discipline is available.
272,305,kai,formula,,"1 - kai_available(""Tracking"")",kai_discipline_absent,Tracking,,,,LW01_e_edges.csv:454,
273,179,profile_choice,profile_choice,,,,,reckless,neutral,tactical,LW01_e_edges.csv:455,
273,51,profile_choice,profile_choice,,,,,cautious,neutral,tactical,LW01_e_edges.csv:456,
274,331,forced,constant,1,,,,,,,LW01_e_edges.csv:457,Loss of Weapon(s) during the transition
275,345,random,constant,0.5,,,,,,,LW01_e_edges.csv:458,
275,74,random,constant,0.5,,,,,,,LW01_e_edges.csv:459,
276,213,forced,constant,1,,,,,,,LW01_e_edges.csv:460,Loss of 1 ENDURANCE point during the transition
277,113,forced,constant,1,,,,,,,LW01_e_edges.csv:461,Loss of a Weapon during the transition
278,149,forced,constant,1,,,,,,,LW01_e_edges.csv:462,
279,112,random,constant,0.7,,,,,,,LW01_e_edges.csv:463,
279,96,random,constant,0.3,,,,,,,LW01_e_edges.csv:464,
280,327,profile_choice,profile_choice,,,,,reckless,neutral,tactical,LW01_e_edges.csv:465,
280,170,profile_choice,profile_choice,,,,,cautious,neutral,physical,LW01_e_edges.csv:466,
281,311,profile_choice,profile_choice,,,,,reckless,neutral,physical,LW01_e_edges.csv:467,
281,77,profile_choice,profile_choice,,,,,cautious,neutral,physical,LW01_e_edges.csv:468,
282,11,forced,constant,1,,,,,,,LW01_e_edges.csv:469,
283,123,combat,formula,,combat_win(283),,,,,,LW01_e_edges.csv:470,Transition after combat victory. | Combat encounter with a Vordak. Contains implicit death condition if the player loses.
283,Death,combat,formula,,1 - combat_win(283),,,,,,generated:combat_death:283,Implicit death when the combat is lost.
284,71,forced,constant,1,,,,,,,LW01_e_edges.csv:471,
285,325,forced,constant,1,,,,,,,LW01_e_edges.csv:472,
286,Death,outcome,constant,1,,,,,,,LW01_nodes.csv:286,Written narrative ending linked to its shared outcome.
287,13,profile_choice,profile_choice,,,,,cautious,neutral,neutral,LW01_e_edges.csv:473,
287,330,profile_choice,profile_choice,,,,,reckless,neutral,physical,LW01_e_edges.csv:474,
288,129,forced,constant,1,,,,,,,LW01_e_edges.csv:475,
289,139,forced,constant,1,,,,,,,LW01_e_edges.csv:476,
290,140,forced,constant,1,,,,,,,LW01_e_edges.csv:477,
291,272,forced,constant,1,,,,,,,LW01_e_edges.csv:478,
292,Death,outcome,constant,1,,,,,,,LW01_nodes.csv:292,Written narrative ending linked to its shared outcome.
293,281,forced,constant,1,,,,,,,LW01_e_edges.csv:479,
294,230,random,constant,0.3,,,,,,,LW01_e_edges.csv:480,
294,190,random,constant,0.4,,,,,,,LW01_e_edges.csv:481,
294,321,random,constant,0.3,,,,,,,LW01_e_edges.csv:482,
295,185,profile_choice,profile_choice,,,,,reckless,neutral,tactical,LW01_e_edges.csv:483,
295,92,profile_choice,profile_choice,,,,,cautious,neutral,physical,LW01_e_edges.csv:484,
296,90,forced,constant,1,,,,,,,LW01_e_edges.csv:485,
297,117,forced,constant,1,,,,,,,LW01_e_edges.csv:486,
298,121,profile_choice,profile_choice,,,,,neutral,neutral,neutral,LW01_e_edges.csv:487,
298,38,profile_choice,profile_choice,,,,,neutral,neutral,neutral,LW01_e_edges.csv:488,
299,227,profile_choice,profile_choice,,,,,reckless,neutral,physical,LW01_e_edges.csv:489,
299,95,profile_choice,profile_choice,,,,,cautious,neutral,tactical,LW01_e_edges.csv:490,
300,13,forced,constant,1,,,,,,,LW01_e_edges.csv:491,Consumption of a Meal required before transition
301,27,forced,constant,1,,,,,,,LW01_e_edges.csv:492,
302,110,random,constant,0.3,,,,,,,LW01_e_edges.csv:493,
302,285,random,constant,0.7,,,,,,,LW01_e_edges.csv:494,
303,237,kai,formula,,"kai_available(""Camouflage"")",kai_discipline,Camouflage,,,,LW01_e_edges.csv:495,Kai route is taken whenever the discipline is available.
303,72,kai,formula,,"1 - kai_available(""Camouflage"")",kai_discipline_absent,Camouflage,,,,LW01_e_edges.csv:496,
304,2,forced,constant,1,,,,,,,LW01_e_edges.csv:497,Loss of 2 ENDURANCE points during the transition
305,105,forced,constant,1,,,,,,,LW01_e_edges.csv:498,
306,Death,outcome,constant,1,,,,,,,LW01_nodes.csv:306,Written narrative ending linked to its shared outcome.
307,213,forced,constant,1,,,,,,,LW01_e_edges.csv:499,"Contains optional item acquisition (Meal, Warhammer) before forced transition"
308,122,kai,formula,,"kai_available(""Animal Kinship"")",kai_discipline,Animal Kinship,,,,LW01_e_edges.csv:500,Kai route is taken whenever the discipline is available.
308,233,profile_choice,formula,,"1 - kai_available(""Animal Kinship"")",,,reckless,neutral,physical,LW01_e_edges.csv:501,Choice among routes remaining when the Kai route is unavailable.
309,Death,outcome,constant,1,,,,,,,LW01_nodes.csv:309,Written narrative ending linked to its shared outcome.
310,37,forced,constant,1,,,,,,,LW01_e_edges.csv:502,
311,324,kai,formula,,"kai_available(""Camouflage"")",kai_discipline,Camouflage,,,,LW01_e_edges.csv:503,Kai route is taken whenever the discipline is available.
311,279,profile_choice,formula,,"(1 - kai_available(""Camouflage"")) * choice_share(311, 279)",,,cautious,neutral,tactical,LW01_e_edges.csv:504,Choice among routes remaining when the Kai route is unavailable.
311,47,profile_choice,formula,,"(1 - kai_available(""Camouflage"")) * choice_share(311, 47)",,,reckless,neutral,physical,LW01_e_edges.csv:505,Choice among routes remaining when the Kai route is unavailable.
312,299,forced,constant,1,,,,,,,LW01_e_edges.csv:506,
313,248,forced,constant,1,,,,,,,LW01_e_edges.csv:507,Loss of 1 ENDURANCE point during the transition
314,341,random,constant,0.7,,,,,,,LW01_e_edges.csv:508,
314,98,random,constant,0.3,,,,,,,LW01_e_edges.csv:509,
315,213,forced,constant,1,,,,,,,LW01_e_edges.csv:510,
316,331,forced,constant,1,,,,,,,LW01_e_edges.csv:511,
317,61,forced,constant,1,,,,,,,LW01_e_edges.csv:512,
318,129,forced,constant,1,,,,,,,LW01_e_edges.csv:513,
319,157,forced,constant,1,,,,,,,LW01_e_edges.csv:514,Player acquires 20 Gold Crowns and a Dagger during the transition
320,264,forced,constant,1,,,,,,,LW01_e_edges.csv:515,Loss of 2 ENDURANCE points during the transition
321,273,forced,constant,1,,,,,,,LW01_e_edges.csv:516,
322,17,profile_choice,profile_choice,,,,,reckless,neutral,physical,LW01_e_edges.csv:517,
322,89,profile_choice,profile_choice,,,,,reckless,neutral,physical,LW01_e_edges.csv:518,
323,290,profile_choice,profile_choice,,,,,reckless,neutral,neutral,LW01_e_edges.csv:519,
323,140,profile_choice,profile_choice,,,,,cautious,neutral,physical,LW01_e_edges.csv:520,
324,33,profile_choice,profile_choice,,,,,reckless,neutral,tactical,LW01_e_edges.csv:521,
324,248,profile_choice,profile_choice,,,,,cautious,neutral,tactical,LW01_e_edges.csv:522,
325,349,forced,constant,1,,,,,,,LW01_e_edges.csv:523,
326,61,forced,constant,1,,,,,,,LW01_e_edges.csv:524,
327,Death,outcome,constant,1,,,,,,,LW01_nodes.csv:327,Written narrative ending linked to its shared outcome.
328,76,profile_choice,profile_choice,,,,,reckless,selfish,neutral,LW01_e_edges.csv:525,
328,118,profile_choice,profile_choice,,,,,cautious,neutral,neutral,LW01_e_edges.csv:526,
329,284,forced,constant,1,,,,,,,LW01_e_edges.csv:527,
330,315,profile_choice,profile_choice,,,,,reckless,neutral,tactical,LW01_e_edges.csv:528,
330,213,profile_choice,profile_choice,,,,,cautious,neutral,neutral,LW01_e_edges.csv:529,
331,170,profile_choice,profile_choice,,,,,reckless,neutral,neutral,LW01_e_edges.csv:530,
331,280,profile_choice,profile_choice,,,,,cautious,neutral,physical,LW01_e_edges.csv:531,
332,350,forced,constant,1,,,,,,,LW01_e_edges.csv:532,
333,131,forced,constant,1,,,,,,,LW01_e_edges.csv:533,
335,121,forced,constant,1,,,,,,,LW01_e_edges.csv:537,
336,117,combat,formula,,combat_win(336),,,,,,LW01_e_edges.csv:538,Transition after combat victory. | Implicit risk of death if combat is lost
336,Death,combat,formula,,1 - combat_win(336),,,,,,generated:combat_death:336,Implicit death when the combat is lost.
337,219,random,constant,0.5,,,,,,,LW01_e_edges.csv:539,
337,317,random,constant,0.5,,,,,,,LW01_e_edges.csv:540,
338,113,forced,constant,1,,,,,,,LW01_e_edges.csv:541,
340,193,combat,formula,,combat_win(340),,,,,,LW01_e_edges.csv:545,Transition after combat victory. | Combat scenario with only one outcome provided (win). Implicit death condition if lost.
340,Death,combat,formula,,1 - combat_win(340),,,,,,generated:combat_death:340,Implicit death when the combat is lost.
341,310,kai,formula,,"kai_available(""Tracking"")",kai_discipline,Tracking,,,,LW01_e_edges.csv:546,Kai route is taken whenever the discipline is available.
341,210,profile_choice,formula,,"(1 - kai_available(""Tracking"")) * choice_share(341, 210)",,,neutral,neutral,neutral,LW01_e_edges.csv:547,Choice among routes remaining when the Kai route is unavailable.
341,37,profile_choice,formula,,"(1 - kai_available(""Tracking"")) * choice_share(341, 37)",,,neutral,neutral,tactical,LW01_e_edges.csv:548,Choice among routes remaining when the Kai route is unavailable.
342,123,combat,formula,,combat_win(342),,,,,,LW01_e_edges.csv:549,"Transition after combat victory. | Combat outcome determines progression, but only one choice tag exists"
342,Death,combat,formula,,1 - combat_win(342),,,,,,generated:combat_death:342,Implicit death when the combat is lost.
343,213,forced,constant,1,,,,,,,LW01_e_edges.csv:550,Loss of 2 ENDURANCE points during the transition
344,60,forced,constant,1,,,,,,,LW01_e_edges.csv:551,
345,272,profile_choice,profile_choice,,,,,cautious,neutral,neutral,LW01_e_edges.csv:552,
345,19,profile_choice,profile_choice,,,,,neutral,neutral,tactical,LW01_e_edges.csv:553,
346,14,forced,constant,1,,,,,,,LW01_e_edges.csv:554,
347,103,forced,constant,1,,,,,,,LW01_e_edges.csv:555,
348,95,forced,constant,1,,,,,,,LW01_e_edges.csv:556,
349,293,forced,constant,1,,,,,,,LW01_e_edges.csv:557,Acquisition of item: Crystal Star Pendant
350,Win,outcome,constant,1,,,,,,,LW01_nodes.csv:350,Written narrative ending linked to its shared outcome.
